date,Stress
2019-05-08 10:15:03,-1
2019-05-08 10:29:46,3
2019-05-08 11:16:12,2
2019-05-08 12:45:38,0
2019-05-08 13:51:57,-3
2019-05-08 15:29:21,0
2019-05-08 15:58:22,-3
2019-05-08 16:41:51,-3
2019-05-08 17:27:42,-3
2019-05-08 19:10:07,-2
2019-05-08 19:42:54,-1
2019-05-08 20:36:35,2
2019-05-08 21:08:13,1
2019-05-09 10:28:15,-3
2019-05-09 11:34:28,-1
2019-05-09 12:09:38,2
2019-05-09 13:32:47,3
2019-05-09 14:01:28,-1
2019-05-09 14:24:26,-3
2019-05-09 15:14:15,-3
2019-05-09 16:41:23,3
2019-05-09 17:48:40,-1
2019-05-09 18:18:39,1
2019-05-09 20:12:45,3
2019-05-09 21:12:50,2
2019-05-09 22:31:27,1
2019-05-10 10:10:17,-1
2019-05-10 11:27:36,-3
2019-05-10 12:00:16,-1
2019-05-10 14:13:18,-1
2019-05-10 15:03:41,0
2019-05-10 15:11:12,-1
2019-05-10 16:01:16,0
2019-05-10 17:09:15,0
2019-05-10 18:05:09,-1
2019-05-10 18:53:57,2
2019-05-10 20:06:10,-1
2019-05-10 20:27:58,0
2019-05-10 21:09:21,-3
2019-05-11 12:16:21,1
2019-05-11 12:53:33,0
2019-05-11 14:10:14,-1
2019-05-11 14:49:44,2
2019-05-11 15:47:28,-1
2019-05-11 16:13:50,0
2019-05-11 16:45:13,1
2019-05-11 17:23:14,2
2019-05-11 18:44:32,0
2019-05-11 19:15:26,2
2019-05-11 19:42:56,-2
2019-05-11 20:49:25,-3
2019-05-11 21:51:05,-2
2019-05-12 12:07:44,-1
2019-05-12 13:05:11,-3
2019-05-12 13:46:26,0
2019-05-12 14:27:47,-2
2019-05-12 15:11:09,1
2019-05-12 16:57:21,2
2019-05-12 17:25:28,0
2019-05-12 18:14:34,-3
2019-05-12 19:04:04,1
2019-05-12 20:16:52,1
2019-05-12 21:45:42,-3
2019-05-13 10:34:19,3
2019-05-13 11:14:40,-2
2019-05-13 12:48:23,-3
2019-05-13 13:41:20,1
2019-05-13 14:06:00,3
2019-05-13 14:28:36,-1
2019-05-13 15:43:58,-3
2019-05-13 16:00:52,-2
2019-05-13 17:39:49,-1
2019-05-13 18:09:16,-2
2019-05-13 18:56:14,-2
2019-05-13 19:36:05,1
2019-05-13 20:31:40,0
2019-05-13 21:20:58,-1
2019-05-13 21:56:13,-1
2019-05-14 10:03:09,0
2019-05-14 11:15:57,0
2019-05-14 12:34:49,-2
2019-05-14 13:44:44,3
2019-05-14 14:37:21,0
2019-05-14 16:13:49,0
2019-05-14 16:47:40,0
2019-05-14 17:33:38,0
2019-05-14 18:57:09,-1
2019-05-14 19:41:05,-1
2019-05-14 21:12:31,-1
2019-05-14 21:55:10,-2
